group,names,scores,logfoldchanges,pvals,pvals_adj
iEC,PolrMT,-0.44324893,-0.05568052,0.6575856860545821,1.0
iEC,Cap-D2,-0.44367453,-0.09533978,0.657277898724401,1.0
iEC,sei,-0.44412675,-0.46082118,0.6569509383639647,1.0
iEC,CG34276,-0.44450805,-0.93569064,0.6566753169195404,1.0
iEC,Ras64B,-0.44467652,-0.11509185,0.6565535455770801,1.0
iEC,Arl5,-0.44811687,-0.10433828,0.6540688457152293,1.0
iEC,CG34001,-0.44939372,-1.0472025,0.653147661716561,1.0
iEC,Tsen2,-0.4495888,-1.1264108,0.6530069717754409,1.0
iEC,tobi,-0.44999668,-1.1712699,0.6527128417736235,1.0
iEC,SelG,-0.4509809,-0.09576655,0.6520033156550427,1.0
iEC,dah,-0.45099863,-0.27709195,0.6519905342867555,1.0
iEC,Iru,-0.4510607,-0.3248322,0.6519458003027876,1.0
iEC,bwa,-0.45120257,-0.66081065,0.6518435558996287,1.0
iEC,Osi24,-0.45155725,-0.29476514,0.6515879735284249,1.0
iEC,Ssu72,-0.451841,-0.18921071,0.651383537099863,1.0
iEC,yellow-h,-0.45219567,-1.4302957,0.6511280284211551,1.0
iEC,ush,-0.45232868,0.03748115,0.6510322232294137,1.0
iEC,jagn,-0.45249715,-0.00078718987,0.6509108782606959,1.0
iEC,bonsai,-0.45282522,-0.60634106,0.6506746014491274,1.0
iEC,Pym,-0.45295823,-0.09019654,0.6505788235503815,1.0
iEC,mRpL12,-0.4532065,-0.13848029,0.6504000535783524,1.0
iEC,ine,-0.4535612,-0.8231568,0.6501447027977554,1.0
iEC,mthl15,-0.45407546,-1.4798654,0.6497745171311125,1.0
iEC,TTLL6B,-0.45407546,-0.81330395,0.6497745171311125,1.0
iEC,E(spl)mdelta-HLH,-0.45450106,-0.4177829,0.64946822194314,1.0
iEC,wkd,-0.45500648,-0.17977388,0.6491045733593339,1.0
iEC,Gnptab,-0.4550863,-1.1535002,0.6490471628037142,1.0
iEC,CG4593,-0.45510402,-0.14741632,0.6490344051855951,1.0
iEC,H,-0.45525476,0.022555307,0.6489259695890404,1.0
iEC,CG1738,-0.45609713,-0.33968067,0.648320142993134,1.0
iEC,Porin2,-0.4566646,-1.4454714,0.647912138355794,1.0
iEC,Polr3I,-0.45670006,-0.785641,0.6478866415751338,1.0
iEC,Letm1,-0.4570902,0.033893723,0.6476062042512108,1.0
iEC,CG4239,-0.45710796,-0.94739175,0.6475934582880349,1.0
iEC,CG13247,-0.45831385,-1.09924,0.6467269753516082,1.0
iEC,CG4936,-0.45834932,-0.34381813,0.6467014978021048,1.0
iEC,mRpL21,-0.45943996,-0.2425527,0.6459182654595322,1.0
iEC,CG31759,-0.46032664,-0.38661993,0.6452817803337327,1.0
iEC,CG3663,-0.46061924,-0.47149366,0.6450717972228561,1.0
iEC,dgt5,-0.46064585,-0.14851633,0.6450527092522265,1.0
