group,names,scores,logfoldchanges,pvals,pvals_adj
Ctrl,alpha-Cat,18.455807,1.2225541,4.683172798575097e-76,6.379150376344793e-74
Ctrl,CG8740,18.334862,1.4624097,4.3612838657090734e-75,5.802536045516653e-73
Ctrl,pnt,18.316261,1.7300831,6.138719983373746e-75,7.981731142018454e-73
Ctrl,CG40045,18.293049,1.4955901,9.4007351985622e-75,1.208575417325266e-72
Ctrl,mRpS5,18.202461,1.7625259,4.933975378139859e-74,6.272727364075142e-72
Ctrl,CG31998,18.179188,1.2017267,7.54435499817174e-74,9.485990097701214e-72
Ctrl,BuGZ,18.14299,1.4670784,1.4587660812186178e-73,1.8142610327503726e-71
Ctrl,Abcd1,18.130331,1.5987668,1.8364967954036293e-73,2.2594834766675616e-71
Ctrl,bun,18.06851,0.65777314,5.6416030078033536e-73,6.867151235668721e-71
Ctrl,Haspin,17.87424,1.3363376,1.8720902784202136e-71,2.254784943756219e-69
Ctrl,Nipped-B,17.615679,0.96857506,1.867367644873322e-69,2.2027237724371703e-67
Ctrl,Prps,17.5569,1.6795841,5.267438851649154e-69,6.150003606180572e-67
Ctrl,Tet,17.47451,0.69804347,2.240608670284636e-68,2.5637044405396804e-66
Ctrl,Pur-alpha,17.42883,1.3943512,4.9856515215904146e-68,5.592727912748777e-66
Ctrl,CG5151,17.425604,0.79118484,5.2749232466824324e-68,5.859773960052465e-66
Ctrl,step,17.385435,1.368454,1.0637852596590434e-67,1.1703683597133438e-65
Ctrl,PMCA,17.324818,0.8661282,3.05658688745238e-67,3.299383694927371e-65
Ctrl,p120ctn,17.302668,1.4101881,4.491099277425188e-67,4.802538124513925e-65
Ctrl,Ip259,17.264263,1.4144142,8.741143658881689e-67,9.26075608749299e-65
Ctrl,mod(mdg4),17.111805,1.1271935,1.2118410957138505e-65,1.2720996162530165e-63
Ctrl,Fas3,17.10666,0.5315948,1.3237447482024238e-65,1.37693521899383e-63
Ctrl,Caper,17.088,1.5994456,1.8231989057713598e-65,1.8793731423275585e-63
Ctrl,HnRNP-K,17.004814,1.2771094,7.564467218018111e-65,7.727913741836001e-63
Ctrl,Atf6,16.842342,1.464836,1.1941589127103632e-63,1.1881361981940849e-61
Ctrl,CNBP,16.790607,0.7459268,2.8590618803203824e-63,2.7960159003953687e-61
Ctrl,PRL-1,16.740892,1.645001,6.599033108969768e-63,6.345053515364041e-61
Ctrl,CG6700,16.696672,1.0259833,1.3858249876468727e-62,1.3213841257212932e-60
Ctrl,Hsp83,16.602625,0.7048477,6.670941310060541e-62,6.308174418984522e-60
Ctrl,rdgA,16.518959,1.2052443,2.679856490287663e-61,2.492920159501743e-59
Ctrl,Gprk1,16.510344,0.72562057,3.0912196896918243e-61,2.852398039472085e-59
Ctrl,Stlk,16.395348,1.301253,2.0645374111778685e-60,1.874796591960093e-58
Ctrl,Cda4,16.34241,1.2718853,4.926722976868314e-60,4.438705850498209e-58
Ctrl,eEF1alpha1,16.339193,0.46136558,5.193533001227418e-60,4.642531609378446e-58
Ctrl,DIP1,16.275076,1.2776194,1.4833456598573444e-59,1.3055723876990566e-57
Ctrl,CG42238,16.209183,0.74367964,4.34304881510383e-59,3.79337133911588e-57
Ctrl,Fur1,16.050028,0.81413025,5.7138286056087374e-58,4.878927380998147e-56
Ctrl,pan,16.022507,0.9078671,8.898903931348176e-58,7.4868572634180755e-56
Ctrl,Mef2,16.019669,1.4287963,9.314473406937757e-58,7.77928501621765e-56
Ctrl,bon,15.997946,1.2668016,1.3206029710937969e-57,1.0949521155982048e-55
Ctrl,CG31712,15.986973,1.5592855,1.575017393950259e-57,1.2964999296099901e-55
Ctrl,Mitf,15.983358,1.2165318,1.6690520786617528e-57,1.364092420289127e-55
Ctrl,Bsg,15.938626,0.95022774,3.4178233873160613e-57,2.7539954364556603e-55
Ctrl,Dad,15.882349,0.9535864,8.397333930081049e-57,6.6723815852769e-55
Ctrl,hrm,15.83531,1.6034347,1.7758091090104317e-56,1.401297091399818e-54
Ctrl,Oatp74D,15.713711,1.167608,1.2183363156108153e-55,9.355841693435536e-54
Ctrl,conu,15.702738,1.196097,1.4485414450517406e-55,1.1049474142854677e-53
Ctrl,caz,15.603137,1.3200562,6.93036280068214e-55,5.251470938106294e-53
Ctrl,Tlk,15.583578,0.5407815,9.413484219421939e-55,7.086124107804331e-53
Ctrl,B52,15.525249,1.0970429,2.3409443992397648e-54,1.7506592036667574e-52
Ctrl,Parp,15.394391,0.8523376,1.7849750448651859e-53,1.3008716218692648e-51
Ctrl,Flo2,15.324465,1.2925198,5.248472900133951e-53,3.7769199322850737e-51
Ctrl,CG9674,15.315421,1.6581236,6.032021820528637e-53,4.313649604405541e-51
Ctrl,Sin3A,15.311144,0.7992201,6.44211727045355e-53,4.5783047086043177e-51
Ctrl,Mbs,14.999429,1.108598,7.405435785686304e-51,5.23043186789029e-49
Ctrl,l(2)gl,14.841416,0.90377957,7.90681820512204e-50,5.483019024424629e-48
Ctrl,fj,14.776616,1.3518322,2.0732525494121546e-49,1.4204883634954417e-47
Ctrl,sxc,14.77536,1.17457,2.1122539210563954e-49,1.4385957955194806e-47
Ctrl,CG41378,14.772645,0.87743485,2.1991138403791242e-49,1.4888911574921858e-47
Ctrl,Tpr2,14.747522,1.0693752,3.19167826609837e-49,2.1481872188645616e-47
Ctrl,Dbp80,14.700657,0.55189496,6.383731649429322e-49,4.271500440512883e-47
Ctrl,CaMKI,14.693378,1.246979,7.107952485716112e-49,4.728441415207195e-47
Ctrl,mthl3,14.642021,1.2137768,1.514959581187458e-48,1.0019750016154275e-46
Ctrl,ttv,14.53896,1.0528886,6.862701727243308e-48,4.512817997880341e-46
Ctrl,Maf1,14.452406,1.113974,2.42080667722427e-47,1.5827925714742915e-45
Ctrl,fz3,14.377887,1.3102293,7.123707682078459e-47,4.631219505587598e-45
Ctrl,rdx,14.223958,0.9420325,6.506623049578002e-46,4.1825157827680616e-44
Ctrl,eIF4EHP,14.209228,0.8263668,8.030619756751258e-46,5.13331571266748e-44
Ctrl,CG17698,14.201153,2.0140483,9.011722468271793e-46,5.728451582331437e-44
Ctrl,fl(2)d,14.185044,1.4619962,1.133934517399791e-45,7.168220302811275e-44
Ctrl,CG33217,14.128257,1.7259032,2.5436261677439283e-45,1.581748402789458e-43
Ctrl,hfp,14.07791,1.6870323,5.192243861444346e-45,3.211332662845741e-43
Ctrl,RpS3A,13.913601,0.6797106,5.237508715315414e-44,3.204683140141121e-42
Ctrl,mt:Cyt-b,13.89837,0.92013645,6.48003257571399e-44,3.943858124006355e-42
Ctrl,mtd,13.781916,0.9481274,3.274655959711237e-43,1.9824663222759777e-41
Ctrl,CG3107,13.678283,1.254851,1.3688721241028158e-42,8.243492023149693e-41
Ctrl,ewg,13.662011,1.0858344,1.7118971972113194e-42,1.0255250120676395e-40
Ctrl,Hel25E,13.629008,1.3975607,2.692139920670571e-42,1.6043471339746185e-40
Ctrl,CG8671,13.610879,0.9999901,3.4507031042233945e-42,2.045748441374305e-40
Ctrl,CG10939,13.52707,1.0991231,1.0825312705600942e-41,6.3519604091018444e-40
Ctrl,unc-13,13.523466,0.6326282,1.1368980224369053e-41,6.636932230981158e-40
Ctrl,Fs(2)Ket,13.401428,0.810701,5.931060009611958e-41,3.44483191015127e-39
Ctrl,Acn,13.380614,1.222992,7.849626964576869e-41,4.5133382778235444e-39
Ctrl,Dscam1,13.320162,1.3983563,1.7672488554101568e-40,1.0110430701801507e-38
Ctrl,Dll,13.2031765,2.5945723,8.41121008987398e-40,4.788112728773039e-38
Ctrl,dve,13.163446,4.630133,1.4243753453067226e-39,8.028424975861833e-38
Ctrl,Tim17b,13.129474,1.1297568,2.2320229642109746e-39,1.2519022919853908e-37
Ctrl,Atg1,13.10087,1.115982,3.2550251040104743e-39,1.8167803531750167e-37
Ctrl,trh,13.090683,3.3301206,3.722461130388292e-39,2.0675922453350893e-37
Ctrl,ftz-f1,12.987101,2.0494277,1.4480900482184313e-38,7.890022062721568e-37
Ctrl,raw,12.962428,1.0450592,1.9982103452112214e-38,1.0835792781946347e-36
Ctrl,myo,12.924545,0.96804297,3.2722388071876297e-38,1.7660828505585313e-36
Ctrl,Cals,12.861113,0.8981114,7.449682137054093e-38,3.98314313140995e-36
Ctrl,mrj,12.816962,1.2870501,1.3176234681500405e-37,6.979744316005909e-36
Ctrl,Syp,12.7767935,0.3231719,2.2099475829716e-37,1.1652636057309239e-35
Ctrl,cass,12.761777,1.0595474,2.6801593388167305e-37,1.400291468253015e-35
Ctrl,qkr54B,12.725252,1.5006278,4.280889162923169e-37,2.2264515364621316e-35
Ctrl,CG33158,12.713472,1.2198824,4.977422022088091e-37,2.576998315689228e-35
Ctrl,mud,12.678111,0.9233091,7.81933040444154e-37,4.030125157100005e-35
Ctrl,CycG,12.636718,0.53939414,1.324698393826928e-36,6.76660670632487e-35
Ctrl,pho,12.630848,1.4701802,1.427321920527737e-36,7.258407739857051e-35
Ctrl,Doa,12.62457,0.812698,1.5458404136229036e-36,7.826330094103213e-35
Ctrl,Ref1,12.616903,1.1602288,1.7039040496250864e-36,8.588577152339313e-35
Ctrl,Samuel,12.589362,0.7733031,2.4161856246960576e-36,1.2072487300337245e-34
Ctrl,vg,12.584677,1.3643454,2.5639130836655928e-36,1.275491021882683e-34
